names,coefficients,standardized_coefficients
Intercept,-10.8571590370163,-1.13826210178655
gen.1,0.190939499490808,0.190939499490808
gen.2,-0.188263540228148,-0.188263540228148
is_cereal.0,-0.20357890956596,-0.20357890956596
is_cereal.1,0.210697103578508,0.210697103578508
is_yoghurt.0,0.494233604107416,0.494233604107416
is_yoghurt.1,-0.488174602091683,-0.488174602091683
is_sandwich.0,-1.31368300733036,-1.31368300733036
is_sandwich.1,1.37313846137454,1.37313846137454
is_crisps.0,-0.316313582602809,-0.316313582602809
is_crisps.1,0.376109351299893,0.376109351299893
is_readymeal.0,1.37095738010006,1.37095738010006
is_readymeal.1,-1.42705760824948,-1.42705760824948
is_soup.0,8.21871568255777e-4,8.21871568255777e-4
is_soup.1,-0.0403671290844698,-0.0403671290844698
reduce_calories.0,-0.450234458650722,-0.450234458650722
reduce_calories.1,0.437628205928159,0.437628205928159
reduce_fat.0,-0.0548925881742186,-0.0548925881742186
reduce_fat.1,0.0478748118173612,0.0478748118173612
reduce_sugar.0,0.146077717817316,0.146077717817316
reduce_sugar.1,-0.15249356656623,-0.15249356656623
reduce_salt.0,0.194947846443007,0.194947846443007
reduce_salt.1,-0.206413892211301,-0.206413892211301
reduce_all.0,-0.126305144921909,-0.126305144921909
reduce_all.1,0.119722092925063,0.119722092925063
rt,-4.76991589967794e-6,-0.0832357734404211
HAS,0.0971850817040921,0.0887987443188721
NUT,-0.05360718246093,-0.104431623769841
age,-0.00993216916041008,-0.0223325467332044
sum_visstrat,1.6985708585803,1.92679020383101
ri_energy_distance,15.6073979207605,0.195053170944292
