names,coefficients,standardized_coefficients
Intercept,-48.6384467697318,24.9122903571376
food_type.Cereal,-3.14127506717466e-4,-3.14127506717466e-4
food_type.Crisps,-3.12619817190158e-4,-3.12619817190158e-4
food_type.Ready_meal,0.929927881327113,0.929927881327113
food_type.Sandwich,1.1374425978253,1.1374425978253
food_type.Soup,-1.83402909156288,-1.83402909156288
food_type.Yoghurt,-0.227529235345909,-0.227529235345909
health_factor.1,0.121385002734631,0.121385002734631
health_factor.2,-0.0947093721303739,-0.0947093721303739
health_factor.3,0.0502265530979564,0.0502265530979564
health_factor.4,-0.248193829419442,-0.248193829419442
health_factor.5,0.172695600575866,0.172695600575866
gen.1,0.0627086428937132,0.0627086428937132
gen.2,-0.0665699098343371,-0.0665699098343371
rt,-1.87137195473925e-5,-0.326557313217936
HAS,0.274772911402877,0.251062087694771
NUT,-0.0881144805653445,-0.17165495108387
age,-0.0463061372839724,-0.104119649819355
sum_visstrat,9.68990841083933,10.9918408806507
tfl3_nbest,4.76119401222609,8.97608646328455
tfl3_distance,0.690845002466764,0.215351536412113
