names,coefficients,standardized_coefficients
Intercept,-50.1262266935702,24.614045732999
gen.1,0.203552933520347,0.203552933520347
gen.2,-0.203553241389162,-0.203553241389162
is_cereal.0,0.00538054564864491,0.00538054564864491
is_cereal.1,-3.65165028329514e-4,-3.65165028329514e-4
is_yoghurt.0,0.231402283564715,0.231402283564715
is_yoghurt.1,-0.227710717627424,-0.227710717627424
is_sandwich.0,-0.578860285259784,-0.578860285259784
is_sandwich.1,0.578044852454688,0.578044852454688
is_crisps.0,-0.0109511942320878,-0.0109511942320878
is_crisps.1,-3.60841031138157e-4,-3.60841031138157e-4
is_readymeal.0,-0.556553620469066,-0.556553620469066
is_readymeal.1,0.547925878236198,0.547925878236198
is_soup.0,0.870409568671567,0.870409568671567
is_soup.1,-0.898599618367717,-0.898599618367717
reduce_calories.0,0.173272210087693,0.173272210087693
reduce_calories.1,-0.201524421710613,-0.201524421710613
reduce_fat.0,0.364113138033555,0.364113138033555
reduce_fat.1,-0.395462501334574,-0.395462501334574
reduce_sugar.0,0.733943178999406,0.733943178999406
reduce_sugar.1,-0.775968661061422,-0.775968661061422
reduce_salt.0,0.448348166169065,0.448348166169065
reduce_salt.1,-0.504778238475445,-0.504778238475445
reduce_all.0,0.207352258264978,0.207352258264978
reduce_all.1,-0.276561841413949,-0.276561841413949
rt,-2.00480163575376e-5,-0.349840999833671
HAS,0.201739525926682,0.184330930917143
NUT,-0.14218620957301,-0.276991553402576
age,-0.0680551536281594,-0.153022454036971
sum_visstrat,9.8771507277954,11.2042410052797
tfl3_nbest,5.04194018408623,9.50536586386806
tfl3_distance,0.677017046556824,0.211041059329682
