names,coefficients,standardized_coefficients
Intercept,-1.94804179752037,-1.18066005994219
gen.1,-0.219196647155725,-0.219196647155725
gen.2,0.218347568441452,0.218347568441452
is_cereal.0,0.647032477872096,0.647032477872096
is_cereal.1,-0.633634481279115,-0.633634481279115
is_yoghurt.0,-1.10119064688953,-1.10119064688953
is_yoghurt.1,1.13871047236012,1.13871047236012
is_sandwich.0,0.83450985237767,0.83450985237767
is_sandwich.1,-0.803370844190156,-0.803370844190156
is_crisps.0,-0.375543379142571,-0.375543379142571
is_crisps.1,0.416660141319552,0.416660141319552
is_readymeal.0,0.236635966810863,0.236635966810863
is_readymeal.1,-0.248934615113339,-0.248934615113339
is_soup.0,-0.188594343898559,-0.188594343898559
is_soup.1,0.143737623499593,0.143737623499593
reduce_calories.0,0.199244442016327,0.199244442016327
reduce_calories.1,-0.249743494996342,-0.249743494996342
reduce_fat.0,0.134171407553126,0.134171407553126
reduce_fat.1,-0.182590833686971,-0.182590833686971
reduce_sugar.0,-0.122348576965399,-0.122348576965399
reduce_sugar.1,0.0770292370159146,0.0770292370159146
reduce_salt.0,-0.18306960273761,-0.18306960273761
reduce_salt.1,0.142442522790579,0.142442522790579
reduce_all.0,0.0213931221661344,0.0213931221661344
reduce_all.1,-0.0567755234259816,-0.0567755234259816
rt,-5.88206280722687e-7,-0.0102642909745583
HAS,-0.044198867141231,-0.0403848392534995
NUT,0.0178153535446658,0.0347059146423001
age,-0.0423709506185211,-0.0952713570959104
sum_visstrat,0.0545073535021636,0.0618309411315957
ri_salt_nbest,0.282902745013749,0.069063291907586
ri_salt_distance,24.0165954305367,0.968048008908118
