names,coefficients,standardized_coefficients
Intercept,-3.67011283996503,-1.16153359778236
gen.1,-0.0615103000863226,-0.0615103000863226
gen.2,0.0603666291791017,0.0603666291791017
is_cereal.0,-0.718098349482576,-0.718098349482576
is_cereal.1,0.720357863590875,0.720357863590875
is_yoghurt.0,-0.425710632659349,-0.425710632659349
is_yoghurt.1,0.436394672996543,0.436394672996543
is_sandwich.0,0.320773470106609,0.320773470106609
is_sandwich.1,-0.307313621582558,-0.307313621582558
is_crisps.0,0.230844648359626,0.230844648359626
is_crisps.1,-0.218501926516792,-0.218501926516792
is_readymeal.0,0.885188266929098,0.885188266929098
is_readymeal.1,-0.898308905281062,-0.898308905281062
is_soup.0,-0.291416462254913,-0.291416462254913
is_soup.1,0.267987434890676,0.267987434890676
reduce_calories.0,0.256719793740259,0.256719793740259
reduce_calories.1,-0.286422612104217,-0.286422612104217
reduce_fat.0,-0.113162137465814,-0.113162137465814
reduce_fat.1,0.0852297394085778,0.0852297394085778
reduce_sugar.0,-0.212878560358717,-0.212878560358717
reduce_sugar.1,0.191690223457305,0.191690223457305
reduce_salt.0,-0.0917534592795044,-0.0917534592795044
reduce_salt.1,0.0793358207831945,0.0793358207831945
reduce_all.0,0.0630549189220542,0.0630549189220542
reduce_all.1,-0.0697412412938949,-0.0697412412938949
rt,4.01665665123183e-6,0.0700912825386432
HAS,-0.060979545803581,-0.0557174722863369
NUT,0.0333891292052286,0.0650450335028213
age,0.0324671918155247,0.0730026912354943
sum_visstrat,0.288310418110319,0.327047698052287
ri_sugar_distance,25.4104006019563,0.352255118876892
