names,coefficients,standardized_coefficients
Intercept,-4.4825977773461,6.43360112404436
gen.1,-0.113394264335402,-0.113394264335402
gen.2,0.113218386632175,0.113218386632175
is_cereal.0,-0.0909175674460172,-0.0909175674460172
is_cereal.1,0.0895562682522596,0.0895562682522596
is_yoghurt.0,-0.196848558635502,-0.196848558635502
is_yoghurt.1,0.200386555780424,0.200386555780424
is_sandwich.0,0.0819589080979775,0.0819589080979775
is_sandwich.1,-0.0690522666022807,-0.0690522666022807
is_crisps.0,-0.100412495691846,-0.100412495691846
is_crisps.1,0.115904698910907,0.115904698910907
is_readymeal.0,0.45130915498495,0.45130915498495
is_readymeal.1,-0.434376252279895,-0.434376252279895
is_soup.0,-0.0912831240953006,-0.0912831240953006
is_soup.1,0.109957452113586,0.109957452113586
reduce_calories.0,0.0200678443048287,0.0200678443048287
reduce_calories.1,-0.00785393138754722,-0.00785393138754722
reduce_fat.0,0.330887845702869,0.330887845702869
reduce_fat.1,-0.327197904038414,-0.327197904038414
reduce_sugar.0,-0.145550512229625,-0.145550512229625
reduce_sugar.1,0.144366199947703,0.144366199947703
reduce_salt.0,-0.355451398380769,-0.355451398380769
reduce_salt.1,0.356336447918841,0.356336447918841
reduce_all.0,0.0736445947667901,0.0736445947667901
reduce_all.1,-0.0685420001636909,-0.0685420001636909
rt,-2.77767019817151e-6,-0.0484707764601938
HAS,-0.0312359229647688,-0.0285404991000352
NUT,-0.0413020294260582,-0.0804600764290604
age,-0.10775089892967,-0.242278594638061
sum_visstrat,1.75872581646834,1.99502755936142
tfl_salt_nbest,0.961455369319917,1.69383466193124
tfl_salt_distance,-0.766265853531587,-0.76622874552208
