names,coefficients,standardized_coefficients
Intercept,-17.1358214255832,0.363482328825659
gen.1,0.050182628070034,0.050182628070034
gen.2,-0.0495645201800734,-0.0495645201800734
is_cereal.0,-0.421144305549601,-0.421144305549601
is_cereal.1,0.429412948640542,0.429412948640542
is_yoghurt.0,1.19713330395821,1.19713330395821
is_yoghurt.1,-1.25058673060508,-1.25058673060508
is_sandwich.0,-0.609161349554608,-0.609161349554608
is_sandwich.1,0.608336647636115,0.608336647636115
is_crisps.0,0.274299090575461,0.274299090575461
is_crisps.1,-0.301631752393679,-0.301631752393679
is_readymeal.0,-0.712347783062342,-0.712347783062342
is_readymeal.1,0.75889365095836,0.75889365095836
is_soup.0,0.270144712009507,0.270144712009507
is_soup.1,-0.250187306442031,-0.250187306442031
reduce_calories.0,0.0675263230963418,0.0675263230963418
reduce_calories.1,-0.0544378368367444,-0.0544378368367444
reduce_fat.0,-0.0800598962742411,-0.0800598962742411
reduce_fat.1,0.0965245801580999,0.0965245801580999
reduce_sugar.0,0.00790703093616733,0.00790703093616733
reduce_sugar.1,0.010999322569077,0.010999322569077
reduce_salt.0,0.0509117547741935,0.0509117547741935
reduce_salt.1,-0.0377818079875064,-0.0377818079875064
reduce_all.0,-0.00235821899566761,-0.00235821899566761
reduce_all.1,0.0159749353115415,0.0159749353115415
rt,5.42914559414664e-6,0.0947394340181055
HAS,-0.0229470482514783,-0.0209668915725164
NUT,0.0559260168810962,0.108948922248041
age,0.0387338406784491,0.0870932918214858
sum_visstrat,2.83890311896761,3.22033708021106
eqw4_distance,31.9126034014314,0.904604406464137
