names,coefficients,standardized_coefficients
Intercept,-20.2791540981432,11.9578450030051
gen.1,0.579521526428025,0.579521526428025
gen.2,-0.578178141614415,-0.578178141614415
is_cereal.0,-0.00697734127280617,-0.00697734127280617
is_cereal.1,0.00915612055570823,0.00915612055570823
is_yoghurt.0,0.800533252063871,0.800533252063871
is_yoghurt.1,-0.79662450547617,-0.79662450547617
is_sandwich.0,-0.284319493419113,-0.284319493419113
is_sandwich.1,0.28683057363626,0.28683057363626
is_crisps.0,-0.0068452061099435,-0.0068452061099435
is_crisps.1,0.00977586443625691,0.00977586443625691
is_readymeal.0,-0.39160438122282,-0.39160438122282
is_readymeal.1,0.39358144774245,0.39358144774245
is_soup.0,-0.0992800829772975,-0.0992800829772975
is_soup.1,0.0989543951858595,0.0989543951858595
reduce_calories.0,-0.231855701466992,-0.231855701466992
reduce_calories.1,0.229213478741403,0.229213478741403
reduce_fat.0,0.616808113529946,0.616808113529946
reduce_fat.1,-0.620626024197097,-0.620626024197097
reduce_sugar.0,-0.464106075134891,-0.464106075134891
reduce_sugar.1,0.459383108660836,0.459383108660836
reduce_salt.0,0.896671030577332,0.896671030577332
reduce_salt.1,-0.903413806267772,-0.903413806267772
reduce_all.0,-0.0923922832288099,-0.0923922832288099
reduce_all.1,0.0859339823270094,0.0859339823270094
rt,1.22501811268838e-5,0.224453726569479
HAS,0.313633023636696,0.288526233915528
NUT,-0.362395868663555,-0.703682389118784
age,0.20901226927691,0.498588547344433
sum_visstrat,2.45755618290891,2.73899937448217
tfl_sugar_nbest,2.61697405348528,1.45149927990608
tfl_sugar_distance,-0.872278961111207,-0.823928490500723
