names,coefficients,standardized_coefficients
Intercept,-9.30258486106014,-1.30945271280609
gen.1,0.115968039237515,0.115968039237515
gen.2,-0.11245159845047,-0.11245159845047
is_cereal.0,-0.125071867913966,-0.125071867913966
is_cereal.1,0.1534557540454,0.1534557540454
is_yoghurt.0,0.0948491809652505,0.0948491809652505
is_yoghurt.1,-0.0726099812635721,-0.0726099812635721
is_sandwich.0,0.734123229652098,0.734123229652098
is_sandwich.1,-0.781198743325713,-0.781198743325713
is_crisps.0,-0.556420736577725,-0.556420736577725
is_crisps.1,0.549350830740535,0.549350830740535
is_readymeal.0,0.0167413322250821,0.0167413322250821
is_readymeal.1,-0.0360992356176067,-0.0360992356176067
is_soup.0,-0.178767857381682,-0.178767857381682
is_soup.1,0.176443277612951,0.176443277612951
reduce_calories.0,-0.230807006698853,-0.230807006698853
reduce_calories.1,0.244579590991789,0.244579590991789
reduce_fat.0,-0.0697142809207462,-0.0697142809207462
reduce_fat.1,0.0824700422817953,0.0824700422817953
reduce_sugar.0,0.174041126735981,0.174041126735981
reduce_sugar.1,-0.167818514597056,-0.167818514597056
reduce_salt.0,0.320112998089686,0.320112998089686
reduce_salt.1,-0.339148425890957,-0.339148425890957
reduce_all.0,-0.0540604423954394,-0.0540604423954394
reduce_all.1,0.0441993981842383,0.0441993981842383
rt,-3.41415645682956e-6,-0.0595775605498628
HAS,0.0847067090573392,0.0773971608376909
NUT,-0.039441578892686,-0.0768357510826364
age,0.0501584662583554,0.112781636487384
sum_visstrat,1.0305896013538,1.16905923472532
ri_fat_distance,52.8070708844712,1.055399967099
