feature,shap_value,shap_importance,shap_force,actualvars,actualvals,z_vals
rt,0.21585364639759064,0.15946150381066856,0.15327908089164088,actual_rt,12136,0.1355638686880776
rt,0.03598026931285858,0.15946150381066856,0.15327908089164088,actual_rt,7797,-0.20690411970139105
rt,0.06855818629264832,0.15946150381066856,0.15327908089164088,actual_rt,4681,-0.4528433342258401
rt,0.015067295171320438,0.15946150381066856,0.15327908089164088,actual_rt,8576,-0.1454193160702788
rt,0.20918899774551392,0.15946150381066856,0.15327908089164088,actual_rt,14118,0.2919988889664659
rt,0.055043015629053116,0.15946150381066856,0.15327908089164088,actual_rt,6832,-0.2830695054575186
rt,0.21517306566238403,0.15946150381066856,0.15327908089164088,actual_rt,9911,-0.040050621785895156
rt,0.07329103350639343,0.15946150381066856,0.15327908089164088,actual_rt,4614,-0.45813150090528104
rt,-0.023229271173477173,0.15946150381066856,0.15327908089164088,actual_rt,5566,-0.3829921773406869
rt,0.05500292778015137,0.15946150381066856,0.15327908089164088,actual_rt,6396,-0.3174820528043285
rt,0.04918826371431351,0.15946150381066856,0.15327908089164088,actual_rt,6440,-0.31400922692529265
rt,0.21333493292331696,0.15946150381066856,0.15327908089164088,actual_rt,10423,3.6044298834037383e-4
rt,-0.02661743573844433,0.15946150381066856,0.15327908089164088,actual_rt,2580,-0.6186707699498026
rt,-0.004688949324190617,0.15946150381066856,0.15327908089164088,actual_rt,2310,-0.639981292389341
rt,-0.008987635374069214,0.15946150381066856,0.15327908089164088,actual_rt,2678,-0.6109358395828591
rt,0.005544832907617092,0.15946150381066856,0.15327908089164088,actual_rt,3761,-0.5254569662420445
rt,-0.011537980288267136,0.15946150381066856,0.15327908089164088,actual_rt,1463,-0.7068331905607813
rt,-0.02055450901389122,0.15946150381066856,0.15327908089164088,actual_rt,1188,-0.7285383523047555
rt,-0.017063258215785027,0.15946150381066856,0.15327908089164088,actual_rt,1310,-0.7189091532765197
rt,-0.004500710405409336,0.15946150381066856,0.15327908089164088,actual_rt,1813,-0.6792084392502687
rt,-0.01710234396159649,0.15946150381066856,0.15327908089164088,actual_rt,2247,-0.6449537476252332
rt,-0.05662969872355461,0.15946150381066856,0.15327908089164088,actual_rt,1086,-0.7365889941152477
