feature,shap_value,shap_importance,shap_force,actualvars,actualvals,z_vals
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.010700235143303871,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.010700235143303871,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,0.04263418912887573,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.0028646921273320913,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.010700235143303871,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.010700235143303871,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,24,1.5377576142394849
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,24,1.5377576142394849
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,24,1.5377576142394849
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,24,1.5377576142394849
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,24,1.5377576142394849
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,24,1.5377576142394849
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,24,1.5377576142394849
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,24,1.5377576142394849
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,24,1.5377576142394849
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.010700235143303871,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.0028646921273320913,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.00314268097281456,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.00314268097281456,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,21,0.4393019007746356
age,-0.0028646921273320913,0.011364320785054604,-0.001601125786600289,actual_age,23,1.1716057097512018
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,23,1.1716057097512018
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,23,1.1716057097512018
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,23,1.1716057097512018
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,23,1.1716057097512018
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,23,1.1716057097512018
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,23,1.1716057097512018
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,23,1.1716057097512018
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,23,1.1716057097512018
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,23,1.1716057097512018
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.0028646921273320913,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.0028646921273320913,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,18,-0.6591538126902138
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,18,-0.6591538126902138
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,18,-0.6591538126902138
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,18,-0.6591538126902138
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,18,-0.6591538126902138
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,18,-0.6591538126902138
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,18,-0.6591538126902138
age,0.0026678964495658875,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.0026678964495658875,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,-0.01884927600622177,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,-0.00499285664409399,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.04263418912887573,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.0028646921273320913,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.010700235143303871,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,-0.00499285664409399,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.0026678964495658875,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,-0.00499285664409399,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,-0.01884927600622177,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,-0.01674526184797287,0.011364320785054604,-0.001601125786600289,actual_age,20,0.07314999628635248
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.008578076958656311,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.033295419067144394,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,-0.01884927600622177,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
age,0.033295419067144394,0.011364320785054604,-0.001601125786600289,actual_age,19,-0.2930019082019306
