"","id","trust_fl","trust_fb","conf1","conf2","age","gen","race","HAS","NUT","condition","health_factor"
"136",9926,3.25,4,6,3,18,2,1,4.42857142857143,6,1,1
"137",9933,5.5,4,5,5,19,1,1,4.14285714285714,3,0,-1
"138",9936,3,3,4,4,19,2,1,3.28571428571429,2,1,4
"139",9938,4.5,3.33333333333333,5,3,19,2,1,3.85714285714286,1,1,5
"140",9944,4.75,5.66666666666667,6,7,18,1,3,3.28571428571429,1,0,-1
"141",9945,3.5,3.66666666666667,6,6,18,2,5,3.71428571428571,1,0,-1
"142",9948,4.5,5,5,3,20,2,4,4.28571428571429,3,1,4
"143",9949,6,4.33333333333333,3,6,18,1,2,2.71428571428571,1,1,3
"144",9951,4.75,3.33333333333333,3,4,21,2,7,4.14285714285714,4,1,4
"145",9957,4,5.33333333333333,5,6,19,2,1,5,3,1,5
"146",9958,4.5,4,7,4,18,1,1,5.28571428571429,1,1,3
"147",9961,3.75,3,5,4,18,2,1,4.42857142857143,2,0,-1
"148",9964,7,3,6,6,19,2,1,3,1,1,3
"149",9967,4.25,3.66666666666667,5,5,27,2,1,5.42857142857143,6,1,3
"150",9968,2.75,4.33333333333333,3,4,19,2,1,5,5,0,-1
"151",9969,3.75,5,5,6,19,2,1,4.85714285714286,5,1,2
"152",9974,3,6,6,7,19,2,1,2.71428571428571,6,0,-1
"153",9977,5,3,5,5,20,2,1,3.71428571428571,1,1,4
"154",10250,4.5,4.66666666666667,5,5,20,2,7,5.57142857142857,4,1,5
